"Variable","Value","yday","Lake"
"Surface_temperature",5.94,1,"Arendsee (2020)"
"Surface_DO",NA,1,"Arendsee (2020)"
"Surface_chla",3.21,1,"Arendsee (2020)"
"Bottom_temperature",5.28,1,"Arendsee (2020)"
"Bottom_DO",0,1,"Arendsee (2020)"
"Surface_temperature",5.82,2,"Arendsee (2020)"
"Surface_DO",NA,2,"Arendsee (2020)"
"Surface_chla",2.3,2,"Arendsee (2020)"
"Bottom_temperature",5.33,2,"Arendsee (2020)"
"Bottom_DO",0.233333333333333,2,"Arendsee (2020)"
"Surface_temperature",5.805,3,"Arendsee (2020)"
"Surface_DO",NA,3,"Arendsee (2020)"
"Surface_chla",2.28,3,"Arendsee (2020)"
"Bottom_temperature",5.32,3,"Arendsee (2020)"
"Bottom_DO",0,3,"Arendsee (2020)"
"Surface_temperature",5.81,4,"Arendsee (2020)"
"Surface_DO",NA,4,"Arendsee (2020)"
"Surface_chla",2.48,4,"Arendsee (2020)"
"Bottom_temperature",5.335,4,"Arendsee (2020)"
"Bottom_DO",0,4,"Arendsee (2020)"
"Surface_temperature",5.82,5,"Arendsee (2020)"
"Surface_DO",NA,5,"Arendsee (2020)"
"Surface_chla",2.46,5,"Arendsee (2020)"
"Bottom_temperature",5.35,5,"Arendsee (2020)"
"Bottom_DO",0,5,"Arendsee (2020)"
"Surface_temperature",5.78,6,"Arendsee (2020)"
"Surface_DO",NA,6,"Arendsee (2020)"
"Surface_chla",2.335,6,"Arendsee (2020)"
"Bottom_temperature",5.35,6,"Arendsee (2020)"
"Bottom_DO",0,6,"Arendsee (2020)"
"Surface_temperature",5.71333333333333,7,"Arendsee (2020)"
"Surface_DO",NA,7,"Arendsee (2020)"
"Surface_chla",2.35666666666667,7,"Arendsee (2020)"
"Bottom_temperature",5.36,7,"Arendsee (2020)"
"Bottom_DO",0,7,"Arendsee (2020)"
"Surface_temperature",5.67,8,"Arendsee (2020)"
"Surface_DO",NA,8,"Arendsee (2020)"
"Surface_chla",2.27,8,"Arendsee (2020)"
"Bottom_temperature",5.36,8,"Arendsee (2020)"
"Bottom_DO",0,8,"Arendsee (2020)"
"Surface_temperature",5.52,9,"Arendsee (2020)"
"Surface_DO",NA,9,"Arendsee (2020)"
"Surface_chla",2.31,9,"Arendsee (2020)"
"Bottom_temperature",5.36,9,"Arendsee (2020)"
"Bottom_DO",0.65,9,"Arendsee (2020)"
"Surface_temperature",5.48,10,"Arendsee (2020)"
"Surface_DO",NA,10,"Arendsee (2020)"
"Surface_chla",2.2,10,"Arendsee (2020)"
"Bottom_temperature",5.35,10,"Arendsee (2020)"
"Bottom_DO",1,10,"Arendsee (2020)"
"Surface_temperature",5.48,11,"Arendsee (2020)"
"Surface_DO",NA,11,"Arendsee (2020)"
"Surface_chla",2.26,11,"Arendsee (2020)"
"Bottom_temperature",5.36,11,"Arendsee (2020)"
"Bottom_DO",0,11,"Arendsee (2020)"
"Surface_temperature",5.4,12,"Arendsee (2020)"
"Surface_DO",NA,12,"Arendsee (2020)"
"Surface_chla",2.3,12,"Arendsee (2020)"
"Bottom_temperature",5.38,12,"Arendsee (2020)"
"Bottom_DO",2.71666666666667,12,"Arendsee (2020)"
"Surface_temperature",5.36,13,"Arendsee (2020)"
"Surface_DO",NA,13,"Arendsee (2020)"
"Surface_chla",2.64,13,"Arendsee (2020)"
"Bottom_temperature",5.39,13,"Arendsee (2020)"
"Bottom_DO",6.01666666666667,13,"Arendsee (2020)"
"Surface_temperature",5.33,14,"Arendsee (2020)"
"Surface_DO",NA,14,"Arendsee (2020)"
"Surface_chla",2.08,14,"Arendsee (2020)"
"Bottom_temperature",5.39,14,"Arendsee (2020)"
"Bottom_DO",4.35,14,"Arendsee (2020)"
"Surface_temperature",5.27,15,"Arendsee (2020)"
"Surface_DO",NA,15,"Arendsee (2020)"
"Surface_chla",2.01,15,"Arendsee (2020)"
"Bottom_temperature",5.39,15,"Arendsee (2020)"
"Bottom_DO",1.1,15,"Arendsee (2020)"
"Surface_temperature",5.235,16,"Arendsee (2020)"
"Surface_DO",NA,16,"Arendsee (2020)"
"Surface_chla",2.155,16,"Arendsee (2020)"
"Bottom_temperature",5.285,16,"Arendsee (2020)"
"Bottom_DO",7.86666666666667,16,"Arendsee (2020)"
"Surface_temperature",5.23,17,"Arendsee (2020)"
"Surface_DO",NA,17,"Arendsee (2020)"
"Surface_chla",2.67,17,"Arendsee (2020)"
"Bottom_temperature",5.34,17,"Arendsee (2020)"
"Bottom_DO",7.95,17,"Arendsee (2020)"
"Surface_temperature",5.195,18,"Arendsee (2020)"
"Surface_DO",NA,18,"Arendsee (2020)"
"Surface_chla",2.14,18,"Arendsee (2020)"
"Bottom_temperature",5.225,18,"Arendsee (2020)"
"Bottom_DO",7.83333333333333,18,"Arendsee (2020)"
"Surface_temperature",5.2,19,"Arendsee (2020)"
"Surface_DO",NA,19,"Arendsee (2020)"
"Surface_chla",2,19,"Arendsee (2020)"
"Bottom_temperature",5.195,19,"Arendsee (2020)"
"Bottom_DO",7.8,19,"Arendsee (2020)"
"Surface_temperature",5.28,20,"Arendsee (2020)"
"Surface_DO",NA,20,"Arendsee (2020)"
"Surface_chla",2.19,20,"Arendsee (2020)"
"Bottom_temperature",5.3,20,"Arendsee (2020)"
"Bottom_DO",7.83333333333333,20,"Arendsee (2020)"
"Surface_temperature",5.28,21,"Arendsee (2020)"
"Surface_DO",NA,21,"Arendsee (2020)"
"Surface_chla",2.06,21,"Arendsee (2020)"
"Bottom_temperature",5.21,21,"Arendsee (2020)"
"Bottom_DO",7.4,21,"Arendsee (2020)"
"Surface_temperature",5.21,22,"Arendsee (2020)"
"Surface_DO",NA,22,"Arendsee (2020)"
"Surface_chla",2.11,22,"Arendsee (2020)"
"Bottom_temperature",5.21,22,"Arendsee (2020)"
"Bottom_DO",6.28333333333333,22,"Arendsee (2020)"
"Surface_temperature",5.23,23,"Arendsee (2020)"
"Surface_DO",NA,23,"Arendsee (2020)"
"Surface_chla",2,23,"Arendsee (2020)"
"Bottom_temperature",5.2,23,"Arendsee (2020)"
"Bottom_DO",7.63333333333333,23,"Arendsee (2020)"
"Surface_temperature",5.22,24,"Arendsee (2020)"
"Surface_DO",NA,24,"Arendsee (2020)"
"Surface_chla",2.34,24,"Arendsee (2020)"
"Bottom_temperature",5.2,24,"Arendsee (2020)"
"Bottom_DO",7.2,24,"Arendsee (2020)"
"Surface_temperature",5.21,25,"Arendsee (2020)"
"Surface_DO",NA,25,"Arendsee (2020)"
"Surface_chla",2.09,25,"Arendsee (2020)"
"Bottom_temperature",5.18,25,"Arendsee (2020)"
"Bottom_DO",8.26666666666667,25,"Arendsee (2020)"
"Surface_temperature",5.28,26,"Arendsee (2020)"
"Surface_DO",NA,26,"Arendsee (2020)"
"Surface_chla",1.98,26,"Arendsee (2020)"
"Bottom_temperature",5.24,26,"Arendsee (2020)"
"Bottom_DO",8.56666666666667,26,"Arendsee (2020)"
"Surface_temperature",5.34,27,"Arendsee (2020)"
"Surface_DO",NA,27,"Arendsee (2020)"
"Surface_chla",2.36,27,"Arendsee (2020)"
"Bottom_temperature",5.24,27,"Arendsee (2020)"
"Bottom_DO",NA,27,"Arendsee (2020)"
"Surface_temperature",5.27,28,"Arendsee (2020)"
"Surface_DO",NA,28,"Arendsee (2020)"
"Surface_chla",2.1,28,"Arendsee (2020)"
"Bottom_temperature",5.23,28,"Arendsee (2020)"
"Bottom_DO",NA,28,"Arendsee (2020)"
"Surface_temperature",5.24,29,"Arendsee (2020)"
"Surface_DO",NA,29,"Arendsee (2020)"
"Surface_chla",1.97,29,"Arendsee (2020)"
"Bottom_temperature",5.24,29,"Arendsee (2020)"
"Bottom_DO",NA,29,"Arendsee (2020)"
"Surface_temperature",5.25,30,"Arendsee (2020)"
"Surface_DO",NA,30,"Arendsee (2020)"
"Surface_chla",2.21,30,"Arendsee (2020)"
"Bottom_temperature",5.24,30,"Arendsee (2020)"
"Bottom_DO",NA,30,"Arendsee (2020)"
"Surface_temperature",5.23,31,"Arendsee (2020)"
"Surface_DO",NA,31,"Arendsee (2020)"
"Surface_chla",2.14,31,"Arendsee (2020)"
"Bottom_temperature",5.22,31,"Arendsee (2020)"
"Bottom_DO",NA,31,"Arendsee (2020)"
"Surface_temperature",5.15,32,"Arendsee (2020)"
"Surface_DO",NA,32,"Arendsee (2020)"
"Surface_chla",2.2,32,"Arendsee (2020)"
"Bottom_temperature",5.17,32,"Arendsee (2020)"
"Bottom_DO",NA,32,"Arendsee (2020)"
"Surface_temperature",5.14,33,"Arendsee (2020)"
"Surface_DO",NA,33,"Arendsee (2020)"
"Surface_chla",2.34,33,"Arendsee (2020)"
"Bottom_temperature",5.12,33,"Arendsee (2020)"
"Bottom_DO",NA,33,"Arendsee (2020)"
"Surface_temperature",5.11,34,"Arendsee (2020)"
"Surface_DO",NA,34,"Arendsee (2020)"
"Surface_chla",2.4,34,"Arendsee (2020)"
"Bottom_temperature",5.1,34,"Arendsee (2020)"
"Bottom_DO",NA,34,"Arendsee (2020)"
"Surface_temperature",5.06,35,"Arendsee (2020)"
"Surface_DO",NA,35,"Arendsee (2020)"
"Surface_chla",1.94,35,"Arendsee (2020)"
"Bottom_temperature",5.1,35,"Arendsee (2020)"
"Bottom_DO",NA,35,"Arendsee (2020)"
"Surface_temperature",5.07,36,"Arendsee (2020)"
"Surface_DO",NA,36,"Arendsee (2020)"
"Surface_chla",2.08,36,"Arendsee (2020)"
"Bottom_temperature",5.07,36,"Arendsee (2020)"
"Bottom_DO",NA,36,"Arendsee (2020)"
"Surface_temperature",5.02,37,"Arendsee (2020)"
"Surface_DO",NA,37,"Arendsee (2020)"
"Surface_chla",2.05,37,"Arendsee (2020)"
"Bottom_temperature",5.04,37,"Arendsee (2020)"
"Bottom_DO",NA,37,"Arendsee (2020)"
"Surface_temperature",4.96,39,"Arendsee (2020)"
"Surface_DO",NA,39,"Arendsee (2020)"
"Surface_chla",1.95,39,"Arendsee (2020)"
"Bottom_temperature",4.93,39,"Arendsee (2020)"
"Bottom_DO",NA,39,"Arendsee (2020)"
"Surface_temperature",4.95,40,"Arendsee (2020)"
"Surface_DO",NA,40,"Arendsee (2020)"
"Surface_chla",2.12,40,"Arendsee (2020)"
"Bottom_temperature",4.95,40,"Arendsee (2020)"
"Bottom_DO",NA,40,"Arendsee (2020)"
"Surface_temperature",4.95,41,"Arendsee (2020)"
"Surface_DO",NA,41,"Arendsee (2020)"
"Surface_chla",2.12,41,"Arendsee (2020)"
"Bottom_temperature",4.95,41,"Arendsee (2020)"
"Bottom_DO",NA,41,"Arendsee (2020)"
"Surface_temperature",5.01,42,"Arendsee (2020)"
"Surface_DO",NA,42,"Arendsee (2020)"
"Surface_chla",2.25,42,"Arendsee (2020)"
"Bottom_temperature",4.96,42,"Arendsee (2020)"
"Bottom_DO",NA,42,"Arendsee (2020)"
"Surface_temperature",5.12,43,"Arendsee (2020)"
"Surface_DO",NA,43,"Arendsee (2020)"
"Surface_chla",2.08,43,"Arendsee (2020)"
"Bottom_temperature",4.97,43,"Arendsee (2020)"
"Bottom_DO",NA,43,"Arendsee (2020)"
"Surface_temperature",5.18,44,"Arendsee (2020)"
"Surface_DO",NA,44,"Arendsee (2020)"
"Surface_chla",2.44,44,"Arendsee (2020)"
"Bottom_temperature",4.98,44,"Arendsee (2020)"
"Bottom_DO",NA,44,"Arendsee (2020)"
"Surface_temperature",5.15,45,"Arendsee (2020)"
"Surface_DO",NA,45,"Arendsee (2020)"
"Surface_chla",2.17,45,"Arendsee (2020)"
"Bottom_temperature",5.01,45,"Arendsee (2020)"
"Bottom_DO",NA,45,"Arendsee (2020)"
"Surface_temperature",5.13,46,"Arendsee (2020)"
"Surface_DO",NA,46,"Arendsee (2020)"
"Surface_chla",2.2,46,"Arendsee (2020)"
"Bottom_temperature",4.98,46,"Arendsee (2020)"
"Bottom_DO",NA,46,"Arendsee (2020)"
"Surface_temperature",5.05,47,"Arendsee (2020)"
"Surface_DO",NA,47,"Arendsee (2020)"
"Surface_chla",2.45,47,"Arendsee (2020)"
"Bottom_temperature",4.99,47,"Arendsee (2020)"
"Bottom_DO",10.5,47,"Arendsee (2020)"
"Surface_temperature",5.08,48,"Arendsee (2020)"
"Surface_DO",NA,48,"Arendsee (2020)"
"Surface_chla",2.18,48,"Arendsee (2020)"
"Bottom_temperature",5.02,48,"Arendsee (2020)"
"Bottom_DO",10.3166666666667,48,"Arendsee (2020)"
"Surface_temperature",5.07,49,"Arendsee (2020)"
"Surface_DO",NA,49,"Arendsee (2020)"
"Surface_chla",2.4,49,"Arendsee (2020)"
"Bottom_temperature",5.05,49,"Arendsee (2020)"
"Bottom_DO",10.55,49,"Arendsee (2020)"
"Surface_temperature",5.06,50,"Arendsee (2020)"
"Surface_DO",NA,50,"Arendsee (2020)"
"Surface_chla",2.25,50,"Arendsee (2020)"
"Bottom_temperature",5,50,"Arendsee (2020)"
"Bottom_DO",10.8,50,"Arendsee (2020)"
"Surface_temperature",5.06,51,"Arendsee (2020)"
"Surface_DO",NA,51,"Arendsee (2020)"
"Surface_chla",2.19,51,"Arendsee (2020)"
"Bottom_temperature",5.04,51,"Arendsee (2020)"
"Bottom_DO",10.8666666666667,51,"Arendsee (2020)"
"Surface_temperature",5.11,52,"Arendsee (2020)"
"Surface_DO",NA,52,"Arendsee (2020)"
"Surface_chla",2.22,52,"Arendsee (2020)"
"Bottom_temperature",5.04,52,"Arendsee (2020)"
"Bottom_DO",10.8,52,"Arendsee (2020)"
"Surface_temperature",5.06,53,"Arendsee (2020)"
"Surface_DO",NA,53,"Arendsee (2020)"
"Surface_chla",2.13,53,"Arendsee (2020)"
"Bottom_temperature",5.08,53,"Arendsee (2020)"
"Bottom_DO",11.0333333333333,53,"Arendsee (2020)"
"Surface_temperature",4.97,54,"Arendsee (2020)"
