"Variable","Value","yday","Lake"
"AirTemp_C_Average",7.46597222222222,1,"Arendsee (2020)"
"Shortwave",52.2222222222223,1,"Arendsee (2020)"
"AirTemp_C_Average",3.67291666666667,2,"Arendsee (2020)"
"Shortwave",17.1111111111111,2,"Arendsee (2020)"
"AirTemp_C_Average",7.15208333333333,3,"Arendsee (2020)"
"Shortwave",28.4652777777777,3,"Arendsee (2020)"
"AirTemp_C_Average",6.20833333333333,4,"Arendsee (2020)"
"Shortwave",22.8958333333333,4,"Arendsee (2020)"
"AirTemp_C_Average",5.40555555555556,5,"Arendsee (2020)"
"Shortwave",15.3402777777778,5,"Arendsee (2020)"
"AirTemp_C_Average",4.94166666666667,6,"Arendsee (2020)"
"Shortwave",31.5,6,"Arendsee (2020)"
"AirTemp_C_Average",2.62638888888889,7,"Arendsee (2020)"
"Shortwave",19.0347222222222,7,"Arendsee (2020)"
"AirTemp_C_Average",-0.079861111111111,8,"Arendsee (2020)"
"Shortwave",33.8819444444445,8,"Arendsee (2020)"
"AirTemp_C_Average",-0.477685950413223,9,"Arendsee (2020)"
"Shortwave",36.2644628099173,9,"Arendsee (2020)"
"AirTemp_C_Average",6.03636363636364,10,"Arendsee (2020)"
"Shortwave",26.7062937062937,10,"Arendsee (2020)"
"AirTemp_C_Average",5.90763888888889,11,"Arendsee (2020)"
"Shortwave",45.7361111111111,11,"Arendsee (2020)"
"AirTemp_C_Average",0.41111111111111,12,"Arendsee (2020)"
"Shortwave",33.6111111111111,12,"Arendsee (2020)"
"AirTemp_C_Average",0.645833333333333,13,"Arendsee (2020)"
"Shortwave",62.5069444444445,13,"Arendsee (2020)"
"AirTemp_C_Average",5.47777777777778,14,"Arendsee (2020)"
"Shortwave",14.7638888888889,14,"Arendsee (2020)"
"AirTemp_C_Average",4.66805555555556,15,"Arendsee (2020)"
"Shortwave",14.1597222222222,15,"Arendsee (2020)"
"AirTemp_C_Average",3.09097222222222,16,"Arendsee (2020)"
"Shortwave",32.8819444444445,16,"Arendsee (2020)"
"AirTemp_C_Average",5.16944444444444,17,"Arendsee (2020)"
"Shortwave",47.7638888888889,17,"Arendsee (2020)"
"AirTemp_C_Average",4.22708333333333,18,"Arendsee (2020)"
"Shortwave",17.7638888888889,18,"Arendsee (2020)"
"AirTemp_C_Average",7.55625,19,"Arendsee (2020)"
"Shortwave",11.4583333333333,19,"Arendsee (2020)"
"AirTemp_C_Average",9.14736842105263,20,"Arendsee (2020)"
"Shortwave",15.1578947368421,20,"Arendsee (2020)"
"AirTemp_C_Average",8.90347222222222,21,"Arendsee (2020)"
"Shortwave",37.1944444444445,21,"Arendsee (2020)"
"AirTemp_C_Average",4.85833333333333,22,"Arendsee (2020)"
"Shortwave",47.3541666666667,22,"Arendsee (2020)"
"AirTemp_C_Average",4.78842975206611,23,"Arendsee (2020)"
"Shortwave",32.7768595041322,23,"Arendsee (2020)"
"AirTemp_C_Average",5.83496503496503,24,"Arendsee (2020)"
"Shortwave",26.2727272727273,24,"Arendsee (2020)"
"AirTemp_C_Average",8.24375,25,"Arendsee (2020)"
"Shortwave",26.5833333333333,25,"Arendsee (2020)"
"AirTemp_C_Average",11.8518518518519,26,"Arendsee (2020)"
"Shortwave",53.2962962962963,26,"Arendsee (2020)"
"AirTemp_C_Average",6.89262295081967,27,"Arendsee (2020)"
"Shortwave",70.0573770491804,27,"Arendsee (2020)"
"AirTemp_C_Average",6.21848739495798,28,"Arendsee (2020)"
"Shortwave",72.2100840336135,28,"Arendsee (2020)"
"AirTemp_C_Average",5.68,29,"Arendsee (2020)"
"Shortwave",26.6086956521739,29,"Arendsee (2020)"
"AirTemp_C_Average",3.39911504424779,30,"Arendsee (2020)"
"Shortwave",47.8318584070797,30,"Arendsee (2020)"
"AirTemp_C_Average",2.60782608695652,31,"Arendsee (2020)"
"Shortwave",34.8086956521739,31,"Arendsee (2020)"
"AirTemp_C_Average",3.42086956521739,32,"Arendsee (2020)"
"Shortwave",74.3217391304348,32,"Arendsee (2020)"
