"Variable","Value","yday","Lake"
"Surface_temperature",24.3897916666667,1,"Lake Batur (2023-2024)"
"Bottom_temperature",23.411,1,"Lake Batur (2023-2024)"
"Surface_temperature",24.44675,2,"Lake Batur (2023-2024)"
"Bottom_temperature",23.4,2,"Lake Batur (2023-2024)"
"Surface_temperature",24.256375,3,"Lake Batur (2023-2024)"
"Bottom_temperature",23.406,3,"Lake Batur (2023-2024)"
"Surface_temperature",24.0745,4,"Lake Batur (2023-2024)"
"Bottom_temperature",23.423,4,"Lake Batur (2023-2024)"
"Surface_temperature",24.2564166666667,5,"Lake Batur (2023-2024)"
"Bottom_temperature",23.409,5,"Lake Batur (2023-2024)"
"Surface_temperature",24.2934583333333,6,"Lake Batur (2023-2024)"
"Bottom_temperature",23.418,6,"Lake Batur (2023-2024)"
"Surface_temperature",24.368875,7,"Lake Batur (2023-2024)"
"Bottom_temperature",23.415,7,"Lake Batur (2023-2024)"
"Surface_temperature",24.834625,8,"Lake Batur (2023-2024)"
"Bottom_temperature",23.414,8,"Lake Batur (2023-2024)"
"Surface_temperature",24.86075,9,"Lake Batur (2023-2024)"
"Bottom_temperature",23.425,9,"Lake Batur (2023-2024)"
"Surface_temperature",25.0489583333333,10,"Lake Batur (2023-2024)"
"Bottom_temperature",23.407,10,"Lake Batur (2023-2024)"
"Surface_temperature",24.5708333333333,11,"Lake Batur (2023-2024)"
"Bottom_temperature",23.421,11,"Lake Batur (2023-2024)"
"Surface_temperature",24.2088333333333,12,"Lake Batur (2023-2024)"
"Bottom_temperature",23.421,12,"Lake Batur (2023-2024)"
"Surface_temperature",24.1585833333333,13,"Lake Batur (2023-2024)"
"Bottom_temperature",23.419,13,"Lake Batur (2023-2024)"
"Surface_temperature",24.23625,14,"Lake Batur (2023-2024)"
"Bottom_temperature",23.42,14,"Lake Batur (2023-2024)"
"Surface_temperature",24.3695833333333,15,"Lake Batur (2023-2024)"
"Bottom_temperature",23.441,15,"Lake Batur (2023-2024)"
"Surface_temperature",24.606,16,"Lake Batur (2023-2024)"
"Bottom_temperature",23.415,16,"Lake Batur (2023-2024)"
"Surface_temperature",24.3908333333333,17,"Lake Batur (2023-2024)"
"Bottom_temperature",23.424,17,"Lake Batur (2023-2024)"
"Surface_temperature",24.0299583333333,18,"Lake Batur (2023-2024)"
"Bottom_temperature",23.423,18,"Lake Batur (2023-2024)"
"Surface_temperature",24.0301666666667,19,"Lake Batur (2023-2024)"
"Bottom_temperature",23.424,19,"Lake Batur (2023-2024)"
"Surface_temperature",24.5425416666667,20,"Lake Batur (2023-2024)"
"Bottom_temperature",23.425,20,"Lake Batur (2023-2024)"
"Surface_temperature",24.1676666666667,21,"Lake Batur (2023-2024)"
"Bottom_temperature",23.4330416666667,21,"Lake Batur (2023-2024)"
"Surface_temperature",23.9496666666667,22,"Lake Batur (2023-2024)"
"Bottom_temperature",23.425,22,"Lake Batur (2023-2024)"
"Surface_temperature",23.77625,23,"Lake Batur (2023-2024)"
"Bottom_temperature",23.4552083333333,23,"Lake Batur (2023-2024)"
"Surface_temperature",23.7993333333333,24,"Lake Batur (2023-2024)"
"Bottom_temperature",23.4460833333333,24,"Lake Batur (2023-2024)"
"Surface_temperature",24.0382916666667,25,"Lake Batur (2023-2024)"
"Bottom_temperature",23.43,25,"Lake Batur (2023-2024)"
"Surface_temperature",24.0119583333333,26,"Lake Batur (2023-2024)"
"Bottom_temperature",23.422,26,"Lake Batur (2023-2024)"
"Surface_temperature",23.9447083333333,27,"Lake Batur (2023-2024)"
"Bottom_temperature",23.4,27,"Lake Batur (2023-2024)"
"Surface_temperature",23.9480416666667,28,"Lake Batur (2023-2024)"
"Bottom_temperature",23.402,28,"Lake Batur (2023-2024)"
"Surface_temperature",23.5345,29,"Lake Batur (2023-2024)"
"Bottom_temperature",23.441125,29,"Lake Batur (2023-2024)"
"Surface_temperature",23.5103333333333,30,"Lake Batur (2023-2024)"
"Bottom_temperature",23.395,30,"Lake Batur (2023-2024)"
"Surface_temperature",23.46925,31,"Lake Batur (2023-2024)"
"Bottom_temperature",23.357,31,"Lake Batur (2023-2024)"
"Surface_temperature",23.5095416666667,32,"Lake Batur (2023-2024)"
"Bottom_temperature",23.305,32,"Lake Batur (2023-2024)"
"Surface_temperature",23.639875,33,"Lake Batur (2023-2024)"
"Bottom_temperature",23.256,33,"Lake Batur (2023-2024)"
"Surface_temperature",23.3581666666667,34,"Lake Batur (2023-2024)"
"Bottom_temperature",23.231,34,"Lake Batur (2023-2024)"
"Surface_temperature",23.5549166666667,35,"Lake Batur (2023-2024)"
"Bottom_temperature",23.232,35,"Lake Batur (2023-2024)"
"Surface_temperature",23.7432916666667,36,"Lake Batur (2023-2024)"
"Bottom_temperature",23.232,36,"Lake Batur (2023-2024)"
"Surface_temperature",23.804375,37,"Lake Batur (2023-2024)"
"Bottom_temperature",23.232,37,"Lake Batur (2023-2024)"
"Surface_temperature",23.720125,38,"Lake Batur (2023-2024)"
"Bottom_temperature",23.21,38,"Lake Batur (2023-2024)"
"Surface_temperature",23.894875,39,"Lake Batur (2023-2024)"
"Bottom_temperature",23.169,39,"Lake Batur (2023-2024)"
"Surface_temperature",23.6479166666667,40,"Lake Batur (2023-2024)"
"Bottom_temperature",23.162,40,"Lake Batur (2023-2024)"
"Surface_temperature",23.67325,41,"Lake Batur (2023-2024)"
"Bottom_temperature",23.155,41,"Lake Batur (2023-2024)"
"Surface_temperature",23.3243333333333,42,"Lake Batur (2023-2024)"
"Bottom_temperature",23.141,42,"Lake Batur (2023-2024)"
"Surface_temperature",23.5126666666667,43,"Lake Batur (2023-2024)"
"Bottom_temperature",23.152,43,"Lake Batur (2023-2024)"
"Surface_temperature",23.441375,44,"Lake Batur (2023-2024)"
"Bottom_temperature",23.158,44,"Lake Batur (2023-2024)"
"Surface_temperature",24.0712916666667,45,"Lake Batur (2023-2024)"
"Bottom_temperature",23.161,45,"Lake Batur (2023-2024)"
"Surface_temperature",24.5228333333333,46,"Lake Batur (2023-2024)"
"Bottom_temperature",23.148,46,"Lake Batur (2023-2024)"
"Surface_temperature",24.244125,47,"Lake Batur (2023-2024)"
"Bottom_temperature",23.156,47,"Lake Batur (2023-2024)"
"Surface_temperature",23.9289583333333,48,"Lake Batur (2023-2024)"
"Bottom_temperature",23.159,48,"Lake Batur (2023-2024)"
"Surface_temperature",23.789375,49,"Lake Batur (2023-2024)"
"Bottom_temperature",23.16,49,"Lake Batur (2023-2024)"
"Surface_temperature",24.2878333333333,50,"Lake Batur (2023-2024)"
"Bottom_temperature",23.16,50,"Lake Batur (2023-2024)"
"Surface_temperature",24.352,51,"Lake Batur (2023-2024)"
"Bottom_temperature",23.16,51,"Lake Batur (2023-2024)"
"Surface_temperature",23.98525,52,"Lake Batur (2023-2024)"
"Bottom_temperature",23.16,52,"Lake Batur (2023-2024)"
"Surface_temperature",23.6982083333333,53,"Lake Batur (2023-2024)"
"Bottom_temperature",23.16,53,"Lake Batur (2023-2024)"
"Surface_temperature",23.422375,54,"Lake Batur (2023-2024)"
"Bottom_temperature",23.16,54,"Lake Batur (2023-2024)"
"Surface_temperature",23.7497083333333,55,"Lake Batur (2023-2024)"
"Bottom_temperature",23.16,55,"Lake Batur (2023-2024)"
"Surface_temperature",23.8277083333333,56,"Lake Batur (2023-2024)"
"Bottom_temperature",23.159,56,"Lake Batur (2023-2024)"
"Surface_temperature",23.5687083333333,57,"Lake Batur (2023-2024)"
"Bottom_temperature",23.162,57,"Lake Batur (2023-2024)"
"Surface_temperature",23.5215,58,"Lake Batur (2023-2024)"
