"Variable","Value","yday","Lake"
"AirTemp_C_Average",0.255125,1,"Lake Erken (2018)"
"Shortwave",11.2694166666667,1,"Lake Erken (2018)"
"AirTemp_C_Average",-1.31991666666667,2,"Lake Erken (2018)"
"Shortwave",9.872875,2,"Lake Erken (2018)"
"AirTemp_C_Average",1.14025,3,"Lake Erken (2018)"
"Shortwave",5.02025,3,"Lake Erken (2018)"
"AirTemp_C_Average",0.0639166666666666,4,"Lake Erken (2018)"
"Shortwave",9.40158333333334,4,"Lake Erken (2018)"
"AirTemp_C_Average",-0.50225,5,"Lake Erken (2018)"
"Shortwave",5.11041666666667,5,"Lake Erken (2018)"
"AirTemp_C_Average",1.5865,6,"Lake Erken (2018)"
"Shortwave",5.05245833333333,6,"Lake Erken (2018)"
"AirTemp_C_Average",1.98616666666667,7,"Lake Erken (2018)"
"Shortwave",9.65920833333333,7,"Lake Erken (2018)"
"AirTemp_C_Average",3.37420833333333,8,"Lake Erken (2018)"
"Shortwave",2.74895833333333,8,"Lake Erken (2018)"
"AirTemp_C_Average",2.21508333333333,9,"Lake Erken (2018)"
"Shortwave",7.454625,9,"Lake Erken (2018)"
"AirTemp_C_Average",0.365625,10,"Lake Erken (2018)"
"Shortwave",9.21129166666667,10,"Lake Erken (2018)"
"AirTemp_C_Average",1.72583333333333,11,"Lake Erken (2018)"
"Shortwave",6.23308333333333,11,"Lake Erken (2018)"
"AirTemp_C_Average",2.247625,12,"Lake Erken (2018)"
"Shortwave",3.896625,12,"Lake Erken (2018)"
"AirTemp_C_Average",1.94283333333333,13,"Lake Erken (2018)"
"Shortwave",7.2675,13,"Lake Erken (2018)"
"AirTemp_C_Average",1.79941666666667,14,"Lake Erken (2018)"
"Shortwave",9.81654166666667,14,"Lake Erken (2018)"
"AirTemp_C_Average",2.37845833333333,15,"Lake Erken (2018)"
"Shortwave",4.27729166666667,15,"Lake Erken (2018)"
"AirTemp_C_Average",0.841375,16,"Lake Erken (2018)"
"Shortwave",5.088375,16,"Lake Erken (2018)"
"AirTemp_C_Average",-3.03825,17,"Lake Erken (2018)"
"Shortwave",6.68808333333333,17,"Lake Erken (2018)"
"AirTemp_C_Average",-2.95383333333333,18,"Lake Erken (2018)"
"Shortwave",13.984375,18,"Lake Erken (2018)"
"AirTemp_C_Average",-0.628083333333333,19,"Lake Erken (2018)"
"Shortwave",14.0192916666667,19,"Lake Erken (2018)"
"AirTemp_C_Average",-1.58633333333333,20,"Lake Erken (2018)"
"Shortwave",18.5211666666667,20,"Lake Erken (2018)"
"AirTemp_C_Average",-5.18070833333333,21,"Lake Erken (2018)"
"Shortwave",17.822125,21,"Lake Erken (2018)"
"AirTemp_C_Average",-0.88225,22,"Lake Erken (2018)"
"Shortwave",5.79254166666667,22,"Lake Erken (2018)"
"AirTemp_C_Average",-0.207333333333333,23,"Lake Erken (2018)"
"Shortwave",6.706,23,"Lake Erken (2018)"
"AirTemp_C_Average",-0.508625,24,"Lake Erken (2018)"
"Shortwave",5.15608333333333,24,"Lake Erken (2018)"
"AirTemp_C_Average",-0.154833333333333,25,"Lake Erken (2018)"
"Shortwave",4.44575,25,"Lake Erken (2018)"
"AirTemp_C_Average",-0.922625,26,"Lake Erken (2018)"
"Shortwave",3.36425,26,"Lake Erken (2018)"
"AirTemp_C_Average",-0.168625,27,"Lake Erken (2018)"
"Shortwave",2.95791666666667,27,"Lake Erken (2018)"
"AirTemp_C_Average",-2.9885,28,"Lake Erken (2018)"
"Shortwave",14.1256666666667,28,"Lake Erken (2018)"
"AirTemp_C_Average",-3.652375,29,"Lake Erken (2018)"
"Shortwave",12.8269583333333,29,"Lake Erken (2018)"
"AirTemp_C_Average",-7.42020833333333,30,"Lake Erken (2018)"
"Shortwave",18.5932916666667,30,"Lake Erken (2018)"
"AirTemp_C_Average",-7.63033333333333,31,"Lake Erken (2018)"
"Shortwave",23.6222083333333,31,"Lake Erken (2018)"
"AirTemp_C_Average",-10.3607083333333,32,"Lake Erken (2018)"
"Shortwave",22.9691666666667,32,"Lake Erken (2018)"
"AirTemp_C_Average",-6.919375,33,"Lake Erken (2018)"
"Shortwave",13.118375,33,"Lake Erken (2018)"
"AirTemp_C_Average",-3.56525,34,"Lake Erken (2018)"
"Shortwave",18.4800416666667,34,"Lake Erken (2018)"
"AirTemp_C_Average",2.325625,35,"Lake Erken (2018)"
"Shortwave",12.0995416666667,35,"Lake Erken (2018)"
"AirTemp_C_Average",5.2785,36,"Lake Erken (2018)"
"Shortwave",27.0700833333333,36,"Lake Erken (2018)"
"AirTemp_C_Average",3.481625,37,"Lake Erken (2018)"
"Shortwave",21.29075,37,"Lake Erken (2018)"
"AirTemp_C_Average",-0.406875,38,"Lake Erken (2018)"
"Shortwave",30.1800416666667,38,"Lake Erken (2018)"
"AirTemp_C_Average",0.560708333333333,39,"Lake Erken (2018)"
"Shortwave",9.382,39,"Lake Erken (2018)"
"AirTemp_C_Average",0.537125,40,"Lake Erken (2018)"
"Shortwave",8.18754166666667,40,"Lake Erken (2018)"
"AirTemp_C_Average",-1.362375,41,"Lake Erken (2018)"
"Shortwave",19.9347916666667,41,"Lake Erken (2018)"
"AirTemp_C_Average",-0.4355,42,"Lake Erken (2018)"
"Shortwave",14.4647083333333,42,"Lake Erken (2018)"
"AirTemp_C_Average",0.944458333333333,43,"Lake Erken (2018)"
"Shortwave",16.3083333333333,43,"Lake Erken (2018)"
"AirTemp_C_Average",-1.19975,44,"Lake Erken (2018)"
"Shortwave",15.72525,44,"Lake Erken (2018)"
"AirTemp_C_Average",-2.72933333333333,45,"Lake Erken (2018)"
"Shortwave",9.171,45,"Lake Erken (2018)"
"AirTemp_C_Average",-4.09629166666667,46,"Lake Erken (2018)"
"Shortwave",33.754125,46,"Lake Erken (2018)"
"AirTemp_C_Average",-6.64370833333333,47,"Lake Erken (2018)"
"Shortwave",38.80875,47,"Lake Erken (2018)"
"AirTemp_C_Average",-5.953125,48,"Lake Erken (2018)"
"Shortwave",23.179375,48,"Lake Erken (2018)"
"AirTemp_C_Average",-7.57554166666667,49,"Lake Erken (2018)"
"Shortwave",26.8337916666667,49,"Lake Erken (2018)"
"AirTemp_C_Average",-4.77841666666667,50,"Lake Erken (2018)"
"Shortwave",33.5872916666667,50,"Lake Erken (2018)"
"AirTemp_C_Average",-1.14220833333333,51,"Lake Erken (2018)"
"Shortwave",52.7442083333333,51,"Lake Erken (2018)"
"AirTemp_C_Average",-5.06775,52,"Lake Erken (2018)"
"Shortwave",24.0156666666667,52,"Lake Erken (2018)"
"AirTemp_C_Average",-2.64745833333333,53,"Lake Erken (2018)"
"Shortwave",22.3712916666667,53,"Lake Erken (2018)"
"AirTemp_C_Average",0.453625,54,"Lake Erken (2018)"
"Shortwave",27.3282083333333,54,"Lake Erken (2018)"
"AirTemp_C_Average",0.543625,55,"Lake Erken (2018)"
"Shortwave",29.0969583333333,55,"Lake Erken (2018)"
"AirTemp_C_Average",-0.682625,56,"Lake Erken (2018)"
"Shortwave",43.8696666666667,56,"Lake Erken (2018)"
"AirTemp_C_Average",-1.11566666666667,57,"Lake Erken (2018)"
"Shortwave",30.2483333333333,57,"Lake Erken (2018)"
"AirTemp_C_Average",-0.583458333333333,58,"Lake Erken (2018)"
"Shortwave",27.4596666666667,58,"Lake Erken (2018)"
"AirTemp_C_Average",-2.15320833333333,59,"Lake Erken (2018)"
"Shortwave",40.74925,59,"Lake Erken (2018)"
"AirTemp_C_Average",-2.14745833333333,60,"Lake Erken (2018)"
"Shortwave",25.3987083333333,60,"Lake Erken (2018)"
"AirTemp_C_Average",-4.07125,61,"Lake Erken (2018)"
"Shortwave",36.92675,61,"Lake Erken (2018)"
"AirTemp_C_Average",-8.44252173913043,62,"Lake Erken (2018)"
"Shortwave",65.4611739130435,62,"Lake Erken (2018)"
"AirTemp_C_Average",-8.75795833333333,63,"Lake Erken (2018)"
"Shortwave",68.874125,63,"Lake Erken (2018)"
"AirTemp_C_Average",-9.772625,64,"Lake Erken (2018)"
"Shortwave",52.1828333333333,64,"Lake Erken (2018)"
"AirTemp_C_Average",-7.04183333333333,65,"Lake Erken (2018)"
"Shortwave",51.4715416666667,65,"Lake Erken (2018)"
"AirTemp_C_Average",-12.5167916666667,66,"Lake Erken (2018)"
"Shortwave",63.822875,66,"Lake Erken (2018)"
"AirTemp_C_Average",-7.85583333333333,67,"Lake Erken (2018)"
"Shortwave",57.4892916666667,67,"Lake Erken (2018)"
"AirTemp_C_Average",-4.90141666666667,68,"Lake Erken (2018)"
"Shortwave",52.8564583333333,68,"Lake Erken (2018)"
"AirTemp_C_Average",-12.2712916666667,69,"Lake Erken (2018)"
"Shortwave",56.9466666666667,69,"Lake Erken (2018)"
"AirTemp_C_Average",-11.8024782608696,70,"Lake Erken (2018)"
"Shortwave",74.155652173913,70,"Lake Erken (2018)"
"AirTemp_C_Average",-13.1125,71,"Lake Erken (2018)"
"Shortwave",75.0004583333333,71,"Lake Erken (2018)"
"AirTemp_C_Average",-10.548375,72,"Lake Erken (2018)"
"Shortwave",96.4391666666667,72,"Lake Erken (2018)"
"AirTemp_C_Average",-11.9799583333333,73,"Lake Erken (2018)"
"Shortwave",79.465,73,"Lake Erken (2018)"
"AirTemp_C_Average",-9.41220833333333,74,"Lake Erken (2018)"
"Shortwave",75.353,74,"Lake Erken (2018)"
"AirTemp_C_Average",-6.95304166666667,75,"Lake Erken (2018)"
"Shortwave",53.0116666666667,75,"Lake Erken (2018)"
"AirTemp_C_Average",-2.76425,76,"Lake Erken (2018)"
"Shortwave",44.8605,76,"Lake Erken (2018)"
"AirTemp_C_Average",-3.10233333333333,77,"Lake Erken (2018)"
"Shortwave",54.1395,77,"Lake Erken (2018)"
"AirTemp_C_Average",-2.51641666666667,78,"Lake Erken (2018)"
"Shortwave",44.7752083333333,78,"Lake Erken (2018)"
"AirTemp_C_Average",0.498333333333333,79,"Lake Erken (2018)"
"Shortwave",49.4719583333333,79,"Lake Erken (2018)"
"AirTemp_C_Average",-1.22433333333333,80,"Lake Erken (2018)"
"Shortwave",34.2952916666667,80,"Lake Erken (2018)"
"AirTemp_C_Average",-1.65895833333333,81,"Lake Erken (2018)"
"Shortwave",58.8884583333333,81,"Lake Erken (2018)"
"AirTemp_C_Average",0.648791666666667,82,"Lake Erken (2018)"
"Shortwave",33.189125,82,"Lake Erken (2018)"
"AirTemp_C_Average",-0.19625,83,"Lake Erken (2018)"
"Shortwave",33.7748333333333,83,"Lake Erken (2018)"
"AirTemp_C_Average",-3.62095833333333,84,"Lake Erken (2018)"
"Shortwave",54.4335833333333,84,"Lake Erken (2018)"
"AirTemp_C_Average",-6.61391666666667,85,"Lake Erken (2018)"
"Shortwave",107.668833333333,85,"Lake Erken (2018)"
"AirTemp_C_Average",-7.79954166666667,86,"Lake Erken (2018)"
"Shortwave",127.563625,86,"Lake Erken (2018)"
"AirTemp_C_Average",-5.572,87,"Lake Erken (2018)"
"Shortwave",119.524708333333,87,"Lake Erken (2018)"
"AirTemp_C_Average",-4.36245833333333,88,"Lake Erken (2018)"
"Shortwave",149.963458333333,88,"Lake Erken (2018)"
"AirTemp_C_Average",0.0168333333333334,89,"Lake Erken (2018)"
"Shortwave",72.620875,89,"Lake Erken (2018)"
"AirTemp_C_Average",-3.430625,90,"Lake Erken (2018)"
"Shortwave",138.741125,90,"Lake Erken (2018)"
"AirTemp_C_Average",-1.7705,91,"Lake Erken (2018)"
"Shortwave",153.257791666667,91,"Lake Erken (2018)"
"AirTemp_C_Average",0.348416666666667,92,"Lake Erken (2018)"
"Shortwave",132.869333333333,92,"Lake Erken (2018)"
"AirTemp_C_Average",-0.218291666666667,93,"Lake Erken (2018)"
"Shortwave",120.112625,93,"Lake Erken (2018)"
"AirTemp_C_Average",1.26258333333333,94,"Lake Erken (2018)"
"Shortwave",102.29075,94,"Lake Erken (2018)"
"AirTemp_C_Average",2.51216666666667,95,"Lake Erken (2018)"
"Shortwave",160.811375,95,"Lake Erken (2018)"
"AirTemp_C_Average",-2.94733333333333,96,"Lake Erken (2018)"
"Shortwave",166.260416666667,96,"Lake Erken (2018)"
"AirTemp_C_Average",-4.92291666666667,97,"Lake Erken (2018)"
"Shortwave",160.015541666667,97,"Lake Erken (2018)"
"AirTemp_C_Average",-4.105625,98,"Lake Erken (2018)"
"Shortwave",182.79675,98,"Lake Erken (2018)"
"AirTemp_C_Average",-3.73870833333333,99,"Lake Erken (2018)"
"Shortwave",188.128583333333,99,"Lake Erken (2018)"
"AirTemp_C_Average",-2.81704166666667,100,"Lake Erken (2018)"
"Shortwave",192.4475,100,"Lake Erken (2018)"
"AirTemp_C_Average",-2.532625,101,"Lake Erken (2018)"
"Shortwave",187.946916666667,101,"Lake Erken (2018)"
"AirTemp_C_Average",-1.84120833333333,102,"Lake Erken (2018)"
"Shortwave",104.947791666667,102,"Lake Erken (2018)"
"AirTemp_C_Average",0.172608695652174,103,"Lake Erken (2018)"
"Shortwave",153.150391304348,103,"Lake Erken (2018)"
"AirTemp_C_Average",-0.779666666666667,104,"Lake Erken (2018)"
"Shortwave",199.503958333333,104,"Lake Erken (2018)"
"AirTemp_C_Average",1.77758333333333,105,"Lake Erken (2018)"
"Shortwave",47.7357916666667,105,"Lake Erken (2018)"
"AirTemp_C_Average",3.02475,106,"Lake Erken (2018)"
"Shortwave",36.7982916666667,106,"Lake Erken (2018)"
"AirTemp_C_Average",1.834875,107,"Lake Erken (2018)"
"Shortwave",70.6655,107,"Lake Erken (2018)"
"AirTemp_C_Average",2.54654166666667,108,"Lake Erken (2018)"
"Shortwave",156.581541666667,108,"Lake Erken (2018)"
"AirTemp_C_Average",4.16116666666667,109,"Lake Erken (2018)"
"Shortwave",113.608916666667,109,"Lake Erken (2018)"
"AirTemp_C_Average",1.3265,110,"Lake Erken (2018)"
"Shortwave",60.2966666666667,110,"Lake Erken (2018)"
"AirTemp_C_Average",1.31,111,"Lake Erken (2018)"
"Shortwave",226.895208333333,111,"Lake Erken (2018)"
"AirTemp_C_Average",1.27941666666667,112,"Lake Erken (2018)"
"Shortwave",221.63175,112,"Lake Erken (2018)"
"AirTemp_C_Average",2.60208333333333,113,"Lake Erken (2018)"
"Shortwave",226.729,113,"Lake Erken (2018)"
"AirTemp_C_Average",3.85991304347826,114,"Lake Erken (2018)"
"Shortwave",231.078869565217,114,"Lake Erken (2018)"
"AirTemp_C_Average",5.91483333333333,115,"Lake Erken (2018)"
