"Variable","Value","yday","Lake"
"AirTemp_C_Average",14.0151039965278,195,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",390.071578378408,195,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",14.7799302916667,196,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",390.007859393235,196,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",15.4571332195122,197,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",389.58445478076,197,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",15.3678818263889,198,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",389.12428803407,198,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",15.7570137916667,199,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",388.627420679841,199,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",16.3890677754237,200,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",473.60614058673,200,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",18.1926190833333,203,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",104.824933829539,203,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",16.4203884368932,204,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",137.270021638736,204,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",14.9548353076923,206,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",142.01315387256,206,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",15.1155901388889,207,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",383.340827064303,207,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",15.8448263506944,208,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",382.517523087071,208,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",15.3972537916667,209,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",381.658505360263,209,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",15.8966317673611,210,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",380.763911878063,210,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",16.7969096354167,211,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",379.833888265963,211,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",16.2424738780488,212,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",378.86858792629,212,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",18.2160573576389,213,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",377.868172191223,213,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",18.8615970902778,214,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",376.832810483191,214,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",18.4884319860627,215,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",375.762680482398,215,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",18.3129860034722,216,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",374.65796830125,216,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",16.9818401041667,217,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",373.518868665327,217,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",15.3305922578397,218,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",372.34558510052,218,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",16.3377776944444,219,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",371.138330125864,219,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",16.2797914270833,220,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",369.89732545158,220,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",16.1155261353383,221,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",319.027176566219,221,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",18.5578816875,222,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",367.31500102077,222,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",18.4907982430556,223,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",365.974172483647,223,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",17.2553657665505,224,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",364.600577108118,224,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",16.7692360625,225,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",363.194485669099,225,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",16.5339134347826,226,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",0,226,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",18.8822373426573,227,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",401.266407038274,227,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",18.8163540104167,228,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",358.78410079611,228,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",19.557534375,229,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",357.250945122057,229,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",17.9206249722222,230,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",355.686808331125,230,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",17.310312375,231,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",0,231,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",18.5851590509554,233,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",441.168659462849,233,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",15.8892012569444,234,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",349.127360578379,234,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",16.0710067951389,235,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",347.413605633787,235,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",15.3974912473868,236,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",345.671069173919,236,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",14.3002352877698,237,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",279.425318412036,237,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",18.9567441860465,239,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",463.500562007653,239,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",17.6554513090278,240,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",338.421495215848,240,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",15.7997220277778,241,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",336.541454512693,241,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",15.4390969826389,242,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",334.635284738726,242,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",15.9153661666667,243,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",332.703474016887,243,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",17.7032290069444,244,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",330.746523853342,244,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",17.6392707222222,245,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",328.764949185168,245,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",18.1745769444444,246,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",326.759278409892,246,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",17.9230207743056,247,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",324.730053396195,247,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",14.9626131637631,248,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",322.677829475088,248,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",14.22960534375,249,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",320.603175410999,249,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",15.90222215625,250,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",318.506673352185,250,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",16.970243804878,251,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",316.38891876002,251,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",15.1768402638889,252,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",314.250520316719,252,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",15.7407384791667,253,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",312.09209981115,253,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",16.6645643937282,254,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",309.914292002446,254,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",16.8760068645833,255,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",307.717744461185,255,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",17.8721180659722,256,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",305.503117388001,256,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",18.2295136597222,257,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",303.271083409521,257,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",16.9731595729167,258,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",301.022327351636,258,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",14.4655901041667,259,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",298.75754599013,259,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",14.6485713205575,260,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",296.47744777882,260,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",15.6496400972222,261,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",294.182752555375,261,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",16.8055554166667,262,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",291.87419122508,262,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",16.2380361289199,263,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",289.552505422882,263,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",16.4264582430556,264,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",287.218447154086,264,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",15.6470831527778,265,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",284.872778414179,265,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",15.4203135087108,266,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",283.500648038424,266,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",13.4346022638889,267,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",280.149705030863,267,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",14.679305375,268,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",277.773870626189,268,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",14.8055211608392,269,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",276.349110854282,269,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",17.0056251076389,270,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",272.997594696265,270,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",17.4049652881944,271,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",270.598771579836,271,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",16.3359723263889,272,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",268.193915632704,272,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",16.0284373090278,273,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",265.783852777859,273,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",13.9316666145833,274,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",263.369414671831,274,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",11.9393188466899,275,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",260.951438153516,275,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",12.2649997604167,276,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",258.53076468079,276,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",13.2102777465278,277,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",256.108239755959,277,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",13.4192333170732,278,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",253.684712341133,278,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",15.4662150034722,279,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",251.261034264634,279,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",15.9745484895833,280,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",248.838059619574,280,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",14.889828902439,281,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",246.416644155773,281,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",9.48107633680556,282,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",243.997644666174,282,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",10.9629513298611,283,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",241.581918368965,283,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",12.5133448850174,284,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",239.170322286604,284,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",12.9066655,285,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",0,285,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",14.2081465874126,287,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",232.777123434503,287,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",12.3001041041667,288,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",229.582338815091,288,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",12.8708679375,289,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",227.204198689824,289,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",12.6984467743056,290,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",224.835291945204,290,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",14.4107985451389,291,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",222.476456841379,291,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",12.6720367456446,292,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",220.12852650926,292,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",13.9659374375,293,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",217.792328356202,293,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",16.87940340625,294,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",215.468683480559,294,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",15.9643900383275,295,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",213.158406096267,295,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",14.7843054895833,296,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",210.862302968533,296,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",14.5784027083333,297,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",208.581172861722,297,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",14.505087,298,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",206.315806000482,298,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",12.872638875,299,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",204.066983545117,299,"Lake Rerewhakaaitu (2022-2023)"
"AirTemp_C_Average",12.9645486076389,300,"Lake Rerewhakaaitu (2022-2023)"
"Shortwave",201.835477082202,300,"Lake Rerewhakaaitu (2022-2023)"
