"yday","Variable","Value","Lake"
1,"Surface_temperature",0.511736111111111,"Lake Sunapee (2008)"
1,"Surface_DO",116.736805555556,"Lake Sunapee (2008)"
2,"Surface_temperature",0.404513888888889,"Lake Sunapee (2008)"
2,"Surface_DO",115.306944444444,"Lake Sunapee (2008)"
3,"Surface_temperature",0.36125,"Lake Sunapee (2008)"
3,"Surface_DO",115.356944444444,"Lake Sunapee (2008)"
4,"Surface_temperature",0.494375,"Lake Sunapee (2008)"
4,"Surface_DO",116.818055555556,"Lake Sunapee (2008)"
5,"Surface_temperature",0.715763888888889,"Lake Sunapee (2008)"
5,"Surface_DO",117.152777777778,"Lake Sunapee (2008)"
6,"Surface_temperature",0.75375,"Lake Sunapee (2008)"
6,"Surface_DO",117.6125,"Lake Sunapee (2008)"
7,"Surface_temperature",0.801111111111111,"Lake Sunapee (2008)"
7,"Surface_DO",116.595833333333,"Lake Sunapee (2008)"
8,"Surface_temperature",0.652638888888889,"Lake Sunapee (2008)"
8,"Surface_DO",116.856944444444,"Lake Sunapee (2008)"
9,"Surface_temperature",0.627222222222222,"Lake Sunapee (2008)"
9,"Surface_DO",116.757638888889,"Lake Sunapee (2008)"
10,"Surface_temperature",0.731944444444445,"Lake Sunapee (2008)"
10,"Surface_DO",116.730555555556,"Lake Sunapee (2008)"
11,"Surface_temperature",0.706041666666667,"Lake Sunapee (2008)"
11,"Surface_DO",115.0125,"Lake Sunapee (2008)"
12,"Surface_temperature",0.445416666666667,"Lake Sunapee (2008)"
12,"Surface_DO",114.102083333333,"Lake Sunapee (2008)"
13,"Surface_temperature",0.221666666666667,"Lake Sunapee (2008)"
13,"Surface_DO",114.997916666667,"Lake Sunapee (2008)"
14,"Surface_temperature",0.196458333333333,"Lake Sunapee (2008)"
14,"Surface_DO",114.243055555556,"Lake Sunapee (2008)"
15,"Surface_temperature",0.223333333333333,"Lake Sunapee (2008)"
15,"Surface_DO",112.629861111111,"Lake Sunapee (2008)"
16,"Surface_temperature",0.198541666666667,"Lake Sunapee (2008)"
16,"Surface_DO",111.728472222222,"Lake Sunapee (2008)"
17,"Surface_temperature",0.151388888888889,"Lake Sunapee (2008)"
17,"Surface_DO",112.060416666667,"Lake Sunapee (2008)"
18,"Surface_temperature",0.190486111111111,"Lake Sunapee (2008)"
18,"Surface_DO",112.501388888889,"Lake Sunapee (2008)"
19,"Surface_temperature",0.366041666666667,"Lake Sunapee (2008)"
19,"Surface_DO",112.395138888889,"Lake Sunapee (2008)"
20,"Surface_temperature",0.613263888888889,"Lake Sunapee (2008)"
20,"Surface_DO",114.3875,"Lake Sunapee (2008)"
21,"Surface_temperature",0.749236111111111,"Lake Sunapee (2008)"
21,"Surface_DO",116.134722222222,"Lake Sunapee (2008)"
22,"Surface_temperature",0.461048951048951,"Lake Sunapee (2008)"
22,"Surface_DO",116.4125,"Lake Sunapee (2008)"
23,"Surface_temperature",0.675277777777778,"Lake Sunapee (2008)"
23,"Surface_DO",116.243055555556,"Lake Sunapee (2008)"
24,"Surface_temperature",0.733986013986014,"Lake Sunapee (2008)"
24,"Surface_DO",114.940972222222,"Lake Sunapee (2008)"
25,"Surface_temperature",0.442152777777778,"Lake Sunapee (2008)"
25,"Surface_DO",112.760416666667,"Lake Sunapee (2008)"
26,"Surface_temperature",0.327916666666667,"Lake Sunapee (2008)"
26,"Surface_DO",111.845138888889,"Lake Sunapee (2008)"
27,"Surface_temperature",0.194444444444444,"Lake Sunapee (2008)"
27,"Surface_DO",112.50625,"Lake Sunapee (2008)"
28,"Surface_temperature",0.0843055555555556,"Lake Sunapee (2008)"
