"Variable","Value","yday","Lake"
"Surface_temperature",2.1020105,1,"West Lake Bonney (2023)"
"Bottom_temperature",-0.30976042,1,"West Lake Bonney (2023)"
"Surface_temperature",2.1038334,2,"West Lake Bonney (2023)"
"Bottom_temperature",-0.28504166,2,"West Lake Bonney (2023)"
"Surface_temperature",2.110104,3,"West Lake Bonney (2023)"
"Bottom_temperature",-0.28067708,3,"West Lake Bonney (2023)"
"Surface_temperature",2.1074688,4,"West Lake Bonney (2023)"
"Bottom_temperature",-0.27466667,4,"West Lake Bonney (2023)"
"Surface_temperature",2.1083126,5,"West Lake Bonney (2023)"
"Bottom_temperature",-0.31489584,5,"West Lake Bonney (2023)"
"Surface_temperature",2.1045418,6,"West Lake Bonney (2023)"
"Bottom_temperature",-0.33173957,6,"West Lake Bonney (2023)"
"Surface_temperature",2.103875,7,"West Lake Bonney (2023)"
"Bottom_temperature",-0.30064583,7,"West Lake Bonney (2023)"
"Surface_temperature",2.1106875,8,"West Lake Bonney (2023)"
"Bottom_temperature",-0.2760625,8,"West Lake Bonney (2023)"
"Surface_temperature",2.123177,9,"West Lake Bonney (2023)"
"Bottom_temperature",-0.30684376,9,"West Lake Bonney (2023)"
"Surface_temperature",2.1369584,10,"West Lake Bonney (2023)"
"Bottom_temperature",-0.32761458,10,"West Lake Bonney (2023)"
"Surface_temperature",2.1337605,11,"West Lake Bonney (2023)"
"Bottom_temperature",-0.34216666,11,"West Lake Bonney (2023)"
"Surface_temperature",1.9961041,12,"West Lake Bonney (2023)"
"Bottom_temperature",-0.33597916,12,"West Lake Bonney (2023)"
"Surface_temperature",1.9822605,13,"West Lake Bonney (2023)"
"Bottom_temperature",-0.33464584,13,"West Lake Bonney (2023)"
"Surface_temperature",1.9085625,14,"West Lake Bonney (2023)"
"Bottom_temperature",-0.33171874,14,"West Lake Bonney (2023)"
"Surface_temperature",2.0831459,15,"West Lake Bonney (2023)"
"Bottom_temperature",-0.3339896,15,"West Lake Bonney (2023)"
"Surface_temperature",2.1795626,16,"West Lake Bonney (2023)"
"Bottom_temperature",-0.33433333,16,"West Lake Bonney (2023)"
"Surface_temperature",2.1599584,17,"West Lake Bonney (2023)"
"Bottom_temperature",-0.34172916,17,"West Lake Bonney (2023)"
"Surface_temperature",2.1535625,18,"West Lake Bonney (2023)"
"Bottom_temperature",-0.3454271,18,"West Lake Bonney (2023)"
"Surface_temperature",2.1513126,19,"West Lake Bonney (2023)"
"Bottom_temperature",-0.35710415,19,"West Lake Bonney (2023)"
"Surface_temperature",2.154698,20,"West Lake Bonney (2023)"
"Bottom_temperature",-0.44408333,20,"West Lake Bonney (2023)"
"Surface_temperature",2.165,21,"West Lake Bonney (2023)"
"Bottom_temperature",-0.47921875,21,"West Lake Bonney (2023)"
"Surface_temperature",2.1712708,22,"West Lake Bonney (2023)"
"Bottom_temperature",-0.4649479,22,"West Lake Bonney (2023)"
"Surface_temperature",2.1784062,23,"West Lake Bonney (2023)"
"Bottom_temperature",-0.45578125,23,"West Lake Bonney (2023)"
"Surface_temperature",2.1815937,24,"West Lake Bonney (2023)"
"Bottom_temperature",-0.39410415,24,"West Lake Bonney (2023)"
"Surface_temperature",2.185,25,"West Lake Bonney (2023)"
"Bottom_temperature",-0.4809479,25,"West Lake Bonney (2023)"
"Surface_temperature",2.1908853,26,"West Lake Bonney (2023)"
"Bottom_temperature",-0.41066667,26,"West Lake Bonney (2023)"
"Surface_temperature",2.1897604,27,"West Lake Bonney (2023)"
"Bottom_temperature",-0.36396876,27,"West Lake Bonney (2023)"
"Surface_temperature",2.1864061,28,"West Lake Bonney (2023)"
"Bottom_temperature",-0.4259896,28,"West Lake Bonney (2023)"
"Surface_temperature",2.188323,29,"West Lake Bonney (2023)"
"Bottom_temperature",-0.38951042,29,"West Lake Bonney (2023)"
"Surface_temperature",2.1917083,30,"West Lake Bonney (2023)"
"Bottom_temperature",-0.36617708,30,"West Lake Bonney (2023)"
"Surface_temperature",2.196271,31,"West Lake Bonney (2023)"
"Bottom_temperature",-0.3371875,31,"West Lake Bonney (2023)"
"Surface_temperature",2.2055626,32,"West Lake Bonney (2023)"
"Bottom_temperature",-0.29998958,32,"West Lake Bonney (2023)"
"Surface_temperature",2.2152293,33,"West Lake Bonney (2023)"
"Bottom_temperature",-0.2961771,33,"West Lake Bonney (2023)"
"Surface_temperature",2.2305937,34,"West Lake Bonney (2023)"
"Bottom_temperature",-0.29058334,34,"West Lake Bonney (2023)"
"Surface_temperature",2.2424166,35,"West Lake Bonney (2023)"
"Bottom_temperature",-0.31352082,35,"West Lake Bonney (2023)"
"Surface_temperature",2.2517292,36,"West Lake Bonney (2023)"
"Bottom_temperature",-0.32642707,36,"West Lake Bonney (2023)"
"Surface_temperature",2.2565312,37,"West Lake Bonney (2023)"
"Bottom_temperature",-0.34394792,37,"West Lake Bonney (2023)"
"Surface_temperature",2.2624166,38,"West Lake Bonney (2023)"
"Bottom_temperature",-0.341375,38,"West Lake Bonney (2023)"
"Surface_temperature",2.2587812,39,"West Lake Bonney (2023)"
"Bottom_temperature",-0.33947915,39,"West Lake Bonney (2023)"
"Surface_temperature",2.2722085,40,"West Lake Bonney (2023)"
"Bottom_temperature",-0.33703125,40,"West Lake Bonney (2023)"
"Surface_temperature",2.2726874,41,"West Lake Bonney (2023)"
"Bottom_temperature",-0.32105207,41,"West Lake Bonney (2023)"
"Surface_temperature",2.2752187,42,"West Lake Bonney (2023)"
"Bottom_temperature",-0.29912502,42,"West Lake Bonney (2023)"
"Surface_temperature",2.2684271,43,"West Lake Bonney (2023)"
"Bottom_temperature",-0.3177604,43,"West Lake Bonney (2023)"
"Surface_temperature",2.2596874,44,"West Lake Bonney (2023)"
"Bottom_temperature",-0.30272916,44,"West Lake Bonney (2023)"
"Surface_temperature",2.2627814,45,"West Lake Bonney (2023)"
"Bottom_temperature",-0.2851875,45,"West Lake Bonney (2023)"
"Surface_temperature",2.2634583,46,"West Lake Bonney (2023)"
"Bottom_temperature",-0.29078126,46,"West Lake Bonney (2023)"
"Surface_temperature",2.270427,47,"West Lake Bonney (2023)"
"Bottom_temperature",-0.3033854,47,"West Lake Bonney (2023)"
"Surface_temperature",2.292052,48,"West Lake Bonney (2023)"
"Bottom_temperature",-0.3196146,48,"West Lake Bonney (2023)"
"Surface_temperature",2.2926145,49,"West Lake Bonney (2023)"
"Bottom_temperature",-0.3123854,49,"West Lake Bonney (2023)"
"Surface_temperature",2.276927,50,"West Lake Bonney (2023)"
"Bottom_temperature",-0.32607293,50,"West Lake Bonney (2023)"
"Surface_temperature",2.2859063,51,"West Lake Bonney (2023)"
"Bottom_temperature",-0.32409376,51,"West Lake Bonney (2023)"
"Surface_temperature",2.2939167,52,"West Lake Bonney (2023)"
"Bottom_temperature",-0.30728126,52,"West Lake Bonney (2023)"
"Surface_temperature",2.320802,53,"West Lake Bonney (2023)"
"Bottom_temperature",-0.28213543,53,"West Lake Bonney (2023)"
"Surface_temperature",2.3489687,54,"West Lake Bonney (2023)"
