"yday","Variable","Value","Lake"
1,"Diff_Dens_surf_bot",-0.125426133008659,"West Lake Bonney (2023)"
2,"Diff_Dens_surf_bot",-0.123669140418656,"West Lake Bonney (2023)"
3,"Diff_Dens_surf_bot",-0.123543956491062,"West Lake Bonney (2023)"
4,"Diff_Dens_surf_bot",-0.123023802621901,"West Lake Bonney (2023)"
5,"Diff_Dens_surf_bot",-0.125999318862796,"West Lake Bonney (2023)"
6,"Diff_Dens_surf_bot",-0.127126469112227,"West Lake Bonney (2023)"
7,"Diff_Dens_surf_bot",-0.124813908248711,"West Lake Bonney (2023)"
8,"Diff_Dens_surf_bot",-0.123225030815206,"West Lake Bonney (2023)"
9,"Diff_Dens_surf_bot",-0.125863905373421,"West Lake Bonney (2023)"
10,"Diff_Dens_surf_bot",-0.127815967110791,"West Lake Bonney (2023)"
11,"Diff_Dens_surf_bot",-0.128796284162945,"West Lake Bonney (2023)"
12,"Diff_Dens_surf_bot",-0.123983769753295,"West Lake Bonney (2023)"
13,"Diff_Dens_surf_bot",-0.12342935300876,"West Lake Bonney (2023)"
14,"Diff_Dens_surf_bot",-0.120731924010897,"West Lake Bonney (2023)"
15,"Diff_Dens_surf_bot",-0.126626801021985,"West Lake Bonney (2023)"
16,"Diff_Dens_surf_bot",-0.129593107856294,"West Lake Bonney (2023)"
17,"Diff_Dens_surf_bot",-0.129556019753068,"West Lake Bonney (2023)"
18,"Diff_Dens_surf_bot",-0.129638127055046,"West Lake Bonney (2023)"
19,"Diff_Dens_surf_bot",-0.13043855993044,"West Lake Bonney (2023)"
20,"Diff_Dens_surf_bot",-0.137087102335158,"West Lake Bonney (2023)"
21,"Diff_Dens_surf_bot",-0.140080466370478,"West Lake Bonney (2023)"
22,"Diff_Dens_surf_bot",-0.139174878307585,"West Lake Bonney (2023)"
23,"Diff_Dens_surf_bot",-0.138687212609852,"West Lake Bonney (2023)"
24,"Diff_Dens_surf_bot",-0.134111936620798,"West Lake Bonney (2023)"
25,"Diff_Dens_surf_bot",-0.140808400476885,"West Lake Bonney (2023)"
26,"Diff_Dens_surf_bot",-0.135633840486207,"West Lake Bonney (2023)"
27,"Diff_Dens_surf_bot",-0.132097360140165,"West Lake Bonney (2023)"
28,"Diff_Dens_surf_bot",-0.136659862718489,"West Lake Bonney (2023)"
29,"Diff_Dens_surf_bot",-0.133966080291202,"West Lake Bonney (2023)"
30,"Diff_Dens_surf_bot",-0.132319578975398,"West Lake Bonney (2023)"
31,"Diff_Dens_surf_bot",-0.130298149098508,"West Lake Bonney (2023)"
32,"Diff_Dens_surf_bot",-0.127827123300676,"West Lake Bonney (2023)"
33,"Diff_Dens_surf_bot",-0.127829295735182,"West Lake Bonney (2023)"
34,"Diff_Dens_surf_bot",-0.127864166709742,"West Lake Bonney (2023)"
35,"Diff_Dens_surf_bot",-0.129888507835972,"West Lake Bonney (2023)"
36,"Diff_Dens_surf_bot",-0.131106548621005,"West Lake Bonney (2023)"
37,"Diff_Dens_surf_bot",-0.132540633582721,"West Lake Bonney (2023)"
38,"Diff_Dens_surf_bot",-0.132516495437926,"West Lake Bonney (2023)"
39,"Diff_Dens_surf_bot",-0.132272965311245,"West Lake Bonney (2023)"
40,"Diff_Dens_surf_bot",-0.132470640989254,"West Lake Bonney (2023)"
41,"Diff_Dens_surf_bot",-0.13130250399513,"West Lake Bonney (2023)"
42,"Diff_Dens_surf_bot",-0.12975983398178,"West Lake Bonney (2023)"
43,"Diff_Dens_surf_bot",-0.130939759965599,"West Lake Bonney (2023)"
44,"Diff_Dens_surf_bot",-0.12958648720155,"West Lake Bonney (2023)"
45,"Diff_Dens_surf_bot",-0.128388245912106,"West Lake Bonney (2023)"
46,"Diff_Dens_surf_bot",-0.128816797629838,"West Lake Bonney (2023)"
47,"Diff_Dens_surf_bot",-0.129937999350318,"West Lake Bonney (2023)"
48,"Diff_Dens_surf_bot",-0.131737665714581,"West Lake Bonney (2023)"
49,"Diff_Dens_surf_bot",-0.131220455082371,"West Lake Bonney (2023)"
50,"Diff_Dens_surf_bot",-0.131792306185389,"West Lake Bonney (2023)"
51,"Diff_Dens_surf_bot",-0.131897207340103,"West Lake Bonney (2023)"
52,"Diff_Dens_surf_bot",-0.130880983312863,"West Lake Bonney (2023)"
