Type,SeasonWords,Country,Country_no_num,n
Flora,growing,"United States
(n = 1123)",United States,387
Hydrology,dry,"China
(n = 1010)",China,350
Hydrology,wet,"China
(n = 1010)",China,226
Flora,growing,"Canada
(n = 701)",Canada,197
Flora,growing,"China
(n = 1010)",China,132
Hydrology,dry,"Brazil
(n = 194)",Brazil,110
Hydrology,rainy,"China
(n = 1010)",China,109
Fauna,breeding,"United States
(n = 1123)",United States,101
Fauna,spawning,"United States
(n = 1123)",United States,95
Hydrology,flood,"China
(n = 1010)",China,91
Hydrology,dry,"Ethiopia
(n = 180)",Ethiopia,89
Ice/Snow,ice-free,"Canada
(n = 701)",Canada,73
Hydrology,rainy,"Brazil
(n = 194)",Brazil,66
Hydrology,rainy,"Ethiopia
(n = 180)",Ethiopia,65
Ice/Snow,open-water,"Canada
(n = 701)",Canada,64
Hydrology,monsoon,"India
(n = 187)",India,63
Fauna,breeding,"Canada
(n = 701)",Canada,62
Ice/Snow,melt,"Greenland
(n = 87)",Greenland,58
Hydrology,wet,"Ethiopia
(n = 180)",Ethiopia,54
Ice/Snow,ice-free,"United States
(n = 1123)",United States,52
Hydrology,dry,"Mexico
(n = 98)",Mexico,51
Temperature,warm,"United States
(n = 1123)",United States,50
Temperature,warm,"China
(n = 1010)",China,48
Temperate,winter,"United States
(n = 1123)",United States,46
Hydrology,dry,"Kenya
(n = 78)",Kenya,42
Agriculture,rice,"China
(n = 1010)",China,38
Temperate,summer,"United States
(n = 1123)",United States,38
Temperate,winter,"Canada
(n = 701)",Canada,38
Hydrology,dry,"Tanzania
(n = 65)",Tanzania,36
Hydrology,dry,"United States
(n = 1123)",United States,35
Hydrology,wet,"United States
(n = 1123)",United States,35
Hydrology,post-monsoon,"India
(n = 187)",India,34
Hydrology,wet,"Brazil
(n = 194)",Brazil,34
Flora,bloom,"China
(n = 1010)",China,32
Hydrology,rainy,"Mexico
(n = 98)",Mexico,32
Temperature,cold,"China
(n = 1010)",China,32
Temperature,cold,"United States
(n = 1123)",United States,32
Hydrology,rainy,"Kenya
(n = 78)",Kenya,30
Ice/Snow,open-water,"United States
(n = 1123)",United States,30
Temperate,winter,"China
(n = 1010)",China,30
Temperate,summer,"China
(n = 1010)",China,29
Temperature,cool,"United States
(n = 1123)",United States,29
Fauna,spawning,"Canada
(n = 701)",Canada,27
Flora,growing,"Poland
(n = 117)",Poland,27
Hydrology,dry,"Cambodia
(n = 57)",Cambodia,27
Fauna,nesting,"United States
(n = 1123)",United States,26
Hydrology,dry,"Uganda
(n = 44)",Uganda,26
Temperate,summer,"Canada
(n = 701)",Canada,26
Hydrology,dry,"Nigeria
(n = 34)",Nigeria,25
Hydrology,rainy,"Malawi
(n = 59)",Malawi,25
Ice/Snow,open-water,"Finland
(n = 100)",Finland,25
Flora,growing,"Sweden
(n = 81)",Sweden,24
Flora,growing,"Russia
(n = 79)",Russia,23
Hydrology,dry,"Bolivia
(n = 35)",Bolivia,22
Hydrology,rainy,"India
(n = 187)",India,22
Hydrology,rainy,"Tanzania
(n = 65)",Tanzania,22
Hydrology,wet,"Kenya
(n = 78)",Kenya,22
Hydrology,dry,"Turkey
(n = 97)",Turkey,21
Hydrology,wet,"Uganda
(n = 44)",Uganda,21
Hydrology,dry,"Australia
(n = 65)",Australia,20
Hydrology,pre-monsoon,"India
(n = 187)",India,20
Temperature,cold,"Canada
(n = 701)",Canada,20
Flora,growing,"Finland
(n = 100)",Finland,19
Hydrology,dry,"Cameroon
(n = 24)",Cameroon,19
Ice/Snow,melt,"Canada
(n = 701)",Canada,19
Research,field,"Canada
(n = 701)",Canada,19
Research,field,"United States
(n = 1123)",United States,19
Temperate,spring,"United States
(n = 1123)",United States,19
Temperate,summer,"India
(n = 187)",India,19
Temperate,winter,"India
(n = 187)",India,19
Agriculture,wheat,"China
(n = 1010)",China,18
Hydrology,dry,"Chad
(n = 28)",Chad,18
Hydrology,dry,"India
(n = 187)",India,18
Hydrology,wet,"Australia
(n = 65)",Australia,17
Ice/Snow,ice,"Canada
(n = 701)",Canada,17
